Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
3,GUANABARA - URB,72,2634,1519,25113,5219,57,3046,1440,4531,16128,0,1633
3,GUANABARA - URB,75,2081,1005,15305,2664,12,2505,964,4250,9413,0,962
3,GUANABARA - URB,76,603,347,5359,811,25,1408,441,1192,4005,0,459
3,GUANABARA - URB,77,3616,2237,40913,8275,43,3973,1780,6562,22659,0,2422
3,GUANABARA - URB,79,4541,2397,34237,5947,229,4935,1617,5446,18240,0,1920
3,GUANABARA - URB,84,3750,1859,28656,6336,89,6395,2478,6949,17188,0,1856
3,GUANABARA - URB,101,0,0,0,0,0,0,6,0,3,0,1
3,GUANABARA - URB,581,130,53,999,211,0,320,125,133,408,0,568
3,GUANABARA - URB,588,1,0,0,0,0,0,383,0,0,0,41
3,GUANABARA - URB,592,96,50,733,148,0,235,112,98,433,0,514
3,GUANABARA - URB,593,350,144,1285,231,0,457,168,283,1042,0,646
3,GUANABARA - URB,1029,141,73,1332,336,1,214,92,230,707,0,79
3,GUANABARA - URB,1516,758,457,4877,683,28,1203,621,981,3814,0,400
3,GUANABARA - URB,1778,1265,684,10250,1593,43,2360,1223,1757,6792,0,680
3,REUNIDAS,7,4232,2083,40338,8401,101,5031,1844,7987,23102,0,2241
3,REUNIDAS,26,1039,464,11817,2255,31,1532,625,2017,4466,0,649
3,REUNIDAS,27,2802,1511,21750,2748,90,5214,2132,4018,14845,0,1699
3,REUNIDAS,29,2928,1434,27403,5631,49,4280,1711,4649,14922,0,1593
3,REUNIDAS,35,4513,1921,30318,7077,431,5992,2490,7624,16643,0,1786
3,REUNIDAS,43,2223,1158,18619,3060,34,3533,1152,3602,10475,0,1132
3,REUNIDAS,68,517,270,6110,832,19,1138,336,1585,3159,0,509
3,REUNIDAS,73,11545,6687,119511,31155,583,11718,5343,17356,62449,0,4988
3,REUNIDAS,78,1575,816,15614,1621,18,1426,447,3057,7113,0,628
3,REUNIDAS,9018,32,17,322,90,0,56,8,45,149,0,61
3,SANTA MARIA - URB,24,3666,1764,22273,6582,53,4182,1852,6264,14136,0,1829
3,SANTA MARIA - URB,37,3121,1349,17597,6067,0,3660,1621,3953,10583,0,1788
3,SANTA MARIA - URB,38,7759,4952,52372,12611,407,23149,10985,9718,47330,0,4029
3,SANTA MARIA - URB,39,3204,1041,23955,5923,167,3182,1248,4806,10539,0,1763
3,SANTA MARIA - URB,46,4752,2328,33327,14992,3,3857,1982,6715,19844,0,1664
3,SANTA MARIA - URB,54,2834,1297,17935,8173,23,3434,2119,3889,10646,0,1968
3,SANTA MARIA - URB,56,523,314,10936,3623,0,700,447,1390,4773,0,1017
3,SANTA MARIA - URB,83,951,607,10847,837,0,1654,589,2237,7694,0,815
3,SANTA MARIA - URB,331,1524,703,10797,1875,24,1788,663,2798,6967,0,722
3,SANTA MARIA - URB,411,1021,459,5868,1750,0,1196,469,1470,3858,0,450
3,SANTA MARIA - URB,536,191,100,1778,373,0,538,199,493,1067,0,529
3,SANTA MARIA - URB,561,9,4,167,9,0,23,0,10,37,0,64
3,SANTA MARIA - URB,588,0,0,0,0,0,0,496,0,0,0,72
3,VIA SUL - URB,50,7383,3644,62562,15457,152,8785,3514,11061,35281,0,3578
3,VIA SUL - URB,51,3407,1429,19192,7518,0,4179,1955,4387,11861,0,1733
3,VIA SUL - URB,52,2810,1297,16657,5812,78,4474,2366,3931,11337,0,1686
4,CONCEIÇÃO,21,3096,1827,27017,4130,40,9325,4131,4871,21434,0,2070
4,CONCEIÇÃO,30,1590,671,17746,4163,72,3343,1251,4128,9821,0,1494
4,CONCEIÇÃO,41,549,219,5023,1790,22,1069,475,1127,2343,0,547
4,CONCEIÇÃO,59,1676,1450,18323,4075,55,7642,3124,3099,13412,0,1597
4,CONCEIÇÃO,63,3457,1933,36842,6604,45,7700,2935,5635,20302,0,2372
4,CONCEIÇÃO,76,473,291,5978,1156,25,1968,561,1165,4148,0,498
4,CONCEIÇÃO,83,851,784,13586,964,1,1958,692,2742,9934,0,931
4,CONCEIÇÃO,411,1108,777,9033,3034,0,2435,941,2284,6523,0,776
4,CONCEIÇÃO,587,40,27,369,106,0,286,35,128,266,0,201
4,CONCEIÇÃO,589,25,5,623,407,0,267,92,110,115,0,402
4,CONCEIÇÃO,599,1220,794,13290,4343,66,3418,830,3543,6607,0,1122
4,CONCEIÇÃO,905,1,6,102,8,0,1,4,6,18,0,10
4,CONCEIÇÃO,2271,1868,1374,18874,2226,0,7648,2786,3166,13832,0,1507
4,DUNAS - URB,33,6948,3895,59396,15205,282,10067,3935,12788,36613,0,2605
4,DUNAS - URB,40,3893,2761,34130,8508,170,13731,5971,6397,28896,0,2213
4,DUNAS - URB,331,1249,720,10914,1745,33,1983,745,2793,7182,0,661
4,DUNAS - URB,332,162,67,2012,296,1,244,102,531,880,0,355
4,DUNAS - URB,411,525,259,4433,1760,0,1082,464,996,3083,0,338
4,DUNAS - URB,585,209,117,681,279,0,495,112,309,592,0,751
4,GUANABARA - URB,2,2320,1273,26145,5950,117,4902,2149,4090,12055,0,2010
4,GUANABARA - URB,4,1279,901,18285,2526,10,1776,1003,2421,8803,0,1209
4,GUANABARA - URB,5,1725,1257,17503,1521,26,4254,2118,2715,13763,0,1484
